ID,PairID,Treatment,Sbefore ,Safter,Safteryear,Lbefore,Lafter,Lafteryear,Smalldiff,Smalldiffyear,Largediff,Largediffyear,totaldiff,Brldbefore,Brldafter,Brldafteryear,Rldbefore,Rldafter,Rldafteryear,coleobefore,coleoafter,coleodiff,lepidbefore,lepidafter,lepiddiff,hemibefore,hemiafter,hemidiff,smallhomobefore,smallhomoafter,smallhomoone,largecoleobefore,largecoleoafter,largecoleoone,small_homopteradiff,large_coleopteradiff,smallhomodiffyear,largehomodiffyear
AE 13,1,1,14,12,8,4,4,2,-2,-6,0,-2,-2,10.96774194,37.69230769,16.25,31.25,12.5,22.5,0,0,0,0,2,2,11,0,-11,9,0,0,0,0,1,-9,0,-9,1
AE 22,2,1,1,11,1,0,11,2,10,0,11,2,21,10.90909091,17.5,16.15384615,16.25,7.5,15,1,6,5,0,0,0,0,3,3,0,3,0,0,5,1,3,5,0,1
AE 3,3,1,4,8,5,3,4,3,4,1,1,0,5,19.57446809,20.83333333,14.48979592,33.125,21.25,23.125,2,2,0,0,4,4,3,2,-1,3,2,2,2,1,1,-1,-1,-1,-1
AE 11,4,1,21,5,6,0,8,1,-16,-15,8,1,-8,21.66666667,8.666666667,20,3.125,8.125,9.375,0,2,2,0,0,0,20,1,-19,19,1,1,0,2,1,-18,2,-18,1
AE 37,5,1,10,14,3,2,4,2,4,-7,2,0,6,24.28571429,22.38095238,22.4,22.5,13.75,23.125,2,4,2,0,0,0,7,3,-4,7,1,4,1,2,1,-6,1,-3,0
AE 31,6,1,1,9,9,0,3,4,8,8,3,4,11,18.66666667,17.69230769,13.6,18.75,25.625,15,1,0,-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
AE 59,7,1,2,7,0,0,17,0,5,-2,17,0,22,,31.42857143,0,25,36.875,0,0,11,11,0,7,7,2,1,-1,2,0,0,0,10,0,-2,10,-2,0
AE 23,8,1,5,9,4,1,2,2,4,-1,1,1,5,10.71428571,10,4.545454545,8.125,3.125,5.625,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
AE 68,9,1,4,4,1,3,1,3,0,-3,-2,0,-2,19,10,24.61538462,16.25,3.125,16.875,0,0,0,0,0,0,2,1,-1,1,1,0,0,0,2,0,0,-1,2
AE 62,10,1,10,11,24,1,4,3,1,14,3,2,4,16.25,21,23.71428571,19.375,13.75,15,0,4,4,0,0,0,7,0,-7,6,0,3,0,2,2,-6,2,-3,2
AE 65,11,1,3,7,13,1,2,2,4,10,1,1,5,14.70588235,25,23.63636364,15,15.625,26.875,1,1,0,0,0,0,3,0,-3,3,0,3,1,0,2,-3,-1,0,1
AE 72,12,1,7,16,8,1,2,2,9,1,1,1,10,36.25,28.88888889,5.294117647,9.375,15.625,16.875,0,0,0,1,1,0,1,4,3,1,3,2,0,0,1,2,0,1,1
AE 77,13,1,90,12,12,3,3,2,-78,-78,0,-1,-78,22.5,26.66666667,31.42857143,6.875,13.125,16.25,0,0,0,0,1,1,84,1,-83,83,2,1,0,0,0,-81,0,-82,0
AE 76,14,1,10,3,9,1,3,0,-7,-1,2,-1,-5,52.22222222,53.33333333,47.77777778,40.625,27.5,31.875,0,1,1,0,1,1,7,1,-6,7,0,1,0,1,0,-7,1,-6,0
AE 78,15,1,14,16,11,2,3,3,2,-3,1,1,3,10.76923077,17.27272727,30,10,10,23.75,7,2,-5,0,0,0,2,0,-2,2,0,3,0,1,0,-2,1,1,0
AE 1,1,0,2,16,5,2,1,4,14,3,-1,2,13,38.40909091,21.30434783,35.86206897,25,13.125,20,0,2,2,1,0,-1,2,0,-2,1,0,0,0,0,3,-1,0,-1,3
AE 19,2,0,7,8,3,2,0,5,1,-4,-2,3,-1,10.625,21.66666667,12.96296296,5.625,11.25,8.125,2,0,-2,1,0,-1,1,1,0,1,1,1,2,0,3,0,-2,0,1
AE 15,3,0,4,12,0,1,2,0,8,-4,1,-1,9,28.75,29.5,29.09090909,22.5,31.25,28.125,1,3,2,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,-1
AE 45,4,0,4,19,1,1,3,0,15,-3,2,-1,17,23.75,8.823529412,14.44444444,29.375,5,12.5,2,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
AE 20,5,0,7,71,14,2,4,0,64,7,2,-2,66,26.76470588,27.36842105,25,14.375,16.25,15,2,4,2,0,0,0,1,66,65,1,63,1,0,1,0,62,1,0,0
AE 34,6,0,6,24,0,0,3,1,18,-6,3,1,21,10.38461538,32.35294118,16.875,13.75,18.125,13.125,1,1,0,0,1,1,1,23,22,1,22,0,0,1,1,21,1,-1,1
AE 58,7,0,2,12,0,0,3,0,10,-2,3,0,13,,36.66666667,0,28.75,22.5,0,0,0,0,0,0,0,0,10,10,0,7,0,0,0,0,7,0,0,0
AE 57,8,0,8,12,8,1,1,0,4,0,0,-1,4,17.5,5.357142857,25.55555556,14.375,8.75,18.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE 67,9,0,8,15,8,3,0,5,7,0,-3,2,4,16.25,14,25.83333333,11.25,15.625,17.5,2,1,-1,0,0,0,3,1,-2,2,1,1,2,0,3,-1,-2,-1,1
AE 70,10,0,3,11,8,7,4,4,8,5,-3,-3,5,12.08333333,13.75,40.4,14.375,9.375,20,4,2,-2,3,2,-1,0,1,1,0,1,0,3,1,1,1,-2,0,-2
AE 63,11,0,12,5,13,6,0,2,-7,1,-6,-4,-13,12.90322581,15,17.31707317,14.375,14.375,16.25,2,0,-2,0,0,0,2,0,-2,1,0,1,1,0,0,-1,-1,0,-1
AE 71,12,0,26,26,7,2,0,1,0,-19,-2,-1,-2,26.42857143,17.14285714,27.5,12.5,10,21.875,0,0,0,1,0,-1,23,0,-23,22,0,1,0,0,0,-22,0,-21,0
AE 69,13,0,8,45,11,4,1,5,37,3,-3,1,34,14,8.666666667,29.33333333,6.875,14.375,18.75,2,0,-2,0,0,0,1,0,-1,0,0,1,1,0,3,0,-1,1,2
AE 75,14,0,6,5,14,4,1,6,-1,8,-3,2,-4,27,32.22222222,30,24.375,23.125,22.5,1,0,-1,1,0,-1,3,2,-1,2,2,0,1,0,6,0,-1,-2,5
AE 74,15,0,15,14,8,6,4,1,-1,-7,-2,-5,-3,8.888888889,50,11.66666667,9.375,32.5,23.125,2,1,-1,5,1,-4,6,3,-3,5,3,1,0,0,1,-2,0,-4,1
